Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","CP_Elec_8x10",61.3090,5.4108,-90.0000,top
"C2","100nF","C_0805_2012Metric",53.4736,9.4052,0.0000,top
"C5","1uF","C_0805_2012Metric",93.7956,11.1512,-90.0000,top
"C6","100nF","C_0805_2012Metric",92.8558,18.2378,90.0000,top
"C7","100nF","C_0805_2012Metric",84.4484,21.4382,0.0000,top
"C8","100nF","C_0805_2012Metric",75.2282,21.3366,90.0000,top
"D1","CD1206-S01575","D_1206_3216Metric",93.2876,3.5312,90.0000,top
"D2","LED","LED_0805_2012Metric",77.7936,25.3552,90.0000,top
"D3","LED","LED_0805_2012Metric",75.2536,25.3552,90.0000,top
"J1","Barrel_Jack_Switch","BarrelJack_CLIFF_FC681465S_SMT_Horizontal",56.5736,19.1052,0.0000,top
"J3","P1","PinHeader_1x05_P2.54mm_Vertical",66.7736,20.8052,180.0000,top
"J5","ICSP1","PinHeader_2x03_P2.54mm_Vertical",71.5960,2.5406,90.0000,top
"J6","P2","PinHeader_1x06_P2.54mm_Vertical",71.4436,23.0892,0.0000,top
"R4","10K","R_0805_2012Metric",89.4776,4.5472,90.0000,top
"R5","1K","R_0805_2012Metric",75.2282,17.5012,-90.0000,top
"R6","1K","R_0805_2012Metric",77.7936,30.1304,-90.0000,top
"R7","1K","R_0805_2012Metric",75.2536,30.1304,-90.0000,top
"U1","ATmega8U2-AU","TQFP-32_7x7mm_P0.8mm",84.9056,14.4532,-90.0000,top
